participant.ID,experiment,gender,age,comp.context,level,winner.name,athleticism.perception,intelligence.perception
246,2,cisgender_woman,18,athletic,highschool,Morgan,3,2
247,2,cisgender_woman,18,athletic,highschool,Morgan,3,3
248,2,cisgender_woman,18,athletic,highschool,Morgan,1,2
249,2,pnts,19,athletic,highschool,Morgan,1,1
250,2,cisgender_woman,20,athletic,highschool,Morgan,1,2
251,2,cisgender_woman,18,athletic,highschool,Morgan,1,1
252,2,cisgender_woman,18,athletic,highschool,Morgan,2,3
253,2,cisgender_woman,18,athletic,highschool,Morgan,3,1
254,2,cisgender_woman,19,athletic,highschool,Morgan,3,3
255,2,cisgender_man,18,athletic,highschool,Morgan,0.5,1
256,2,cisgender_woman,18,athletic,highschool,Morgan,0.5,0.5
257,2,cisgender_woman,18,athletic,highschool,Morgan,2,3
258,2,cisgender_woman,18,athletic,highschool,Morgan,3,2
259,2,cisgender_woman,19,athletic,highschool,Morgan,1,1
260,2,cisgender_woman,18,athletic,highschool,Morgan,2,2
261,2,cisgender_man,18,athletic,highschool,Morgan,2,2
262,2,nonbinary,18,athletic,highschool,Morgan,2,2
263,2,gender_fluid,18,academic,elementary,Jamie,2,2
264,2,cisgender_woman,18,academic,elementary,Jamie,2,3
265,2,cisgender_woman,18,academic,elementary,Jamie,1,1
266,2,cisgender_woman,31,academic,elementary,Jamie,2,1
267,2,cisgender_man,17,academic,elementary,Jamie,2,3
268,2,cisgender_woman,19,academic,elementary,Jamie,3,2
269,2,cisgender_man,19,academic,elementary,Jamie,3,1
270,2,cisgender_woman,18,academic,elementary,Jamie,1,2
271,2,cisgender_woman,18,academic,elementary,Jamie,3,3
272,2,cisgender_woman,18,academic,elementary,Jamie,2,1
273,2,cisgender_woman,19,academic,elementary,Jamie,1,1
274,2,cisgender_woman,18,academic,elementary,Jamie,1,2
275,2,cisgender_woman,18,academic,elementary,Jamie,1,1
276,2,cisgender_woman,18,academic,elementary,Jamie,2,2
277,2,cisgender_woman,18,academic,elementary,Jamie,2,3
278,2,cisgender_woman,18,academic,elementary,Jamie,2,1
279,2,cisgender_woman,18,academic,elementary,Jamie,2,3
280,2,cisgender_woman,20,academic,elementary,Jamie,1,1
281,2,cisgender_woman,18,academic,elementary,Jamie,2,3
282,2,cisgender_woman,18,academic,elementary,Jamie,3,3
283,2,cisgender_woman,19,academic,elementary,Jamie,1,0.5
284,2,cisgender_woman,18,academic,elementary,Jamie,2,2
285,2,cisgender_woman,18,academic,elementary,Jamie,1,2
286,2,cisgender_man,18,academic,elementary,Morgan,2,1
287,2,cisgender_woman,18,academic,elementary,Morgan,1,1
288,2,pnts,18,academic,elementary,Morgan,2,1
289,2,cisgender_woman,18,academic,elementary,Morgan,0.5,0.5
290,2,cisgender_man,20,academic,elementary,Morgan,3,1
291,2,cisgender_woman,18,academic,elementary,Morgan,1,1
292,2,cisgender_woman,18,academic,elementary,Morgan,2,1
293,2,cisgender_woman,18,academic,elementary,Morgan,3,3
294,2,cisgender_woman,19,academic,elementary,Morgan,2,1
295,2,nonbinary,18,academic,elementary,Morgan,1,2
296,2,cisgender_woman,18,academic,elementary,Morgan,3,1
297,2,cisgender_woman,18,academic,elementary,Morgan,1,0.5
298,2,cisgender_woman,18,academic,elementary,Morgan,2,1
299,2,cisgender_woman,18,academic,elementary,Morgan,1,2
300,2,cisgender_woman,18,academic,elementary,Morgan,2,2
301,2,cisgender_man,18,academic,elementary,Morgan,2,1
302,2,cisgender_woman,18,academic,elementary,Morgan,2,3
303,2,cisgender_woman,18,academic,elementary,Morgan,1,0.5
304,2,cisgender_man,18,academic,elementary,Morgan,2,0.5
305,2,cisgender_woman,19,academic,elementary,Morgan,1,2
306,2,cisgender_woman,18,academic,elementary,Morgan,2,1
307,2,cisgender_woman,18,academic,elementary,Morgan,2,2
308,2,cisgender_man,18,academic,elementary,Morgan,1,2
309,2,cisgender_man,18,academic,highschool,Jamie,1,1
310,2,cisgender_man,18,academic,highschool,Jamie,1,1
311,2,cisgender_woman,18,academic,highschool,Jamie,2,1
312,2,trans_man,18,academic,highschool,Jamie,2,2
313,2,cisgender_woman,18,academic,highschool,Jamie,1,1
314,2,cisgender_man,18,academic,highschool,Jamie,3,2
315,2,cisgender_woman,18,academic,highschool,Jamie,1,1
316,2,cisgender_woman,18,academic,highschool,Jamie,2,1
317,2,cisgender_woman,18,academic,highschool,Jamie,1,3
318,2,cisgender_woman,18,academic,highschool,Jamie,2,1
319,2,cisgender_man,18,academic,highschool,Jamie,3,1
320,2,cisgender_man,18,academic,highschool,Jamie,2,3
321,2,cisgender_woman,18,academic,highschool,Jamie,2,2
322,2,cisgender_woman,18,academic,highschool,Jamie,2,0.5
323,2,cisgender_woman,18,academic,highschool,Jamie,2,0.5
324,2,cisgender_woman,19,academic,highschool,Jamie,0.5,0.33
325,2,cisgender_woman,18,academic,highschool,Jamie,2,3
326,2,cisgender_woman,19,academic,highschool,Jamie,1,2
327,2,cisgender_man,18,academic,highschool,Jamie,1,0.5
328,2,cisgender_woman,18,academic,highschool,Jamie,1,2
329,2,cisgender_woman,18,academic,highschool,Jamie,2,1
330,2,cisgender_man,18,academic,highschool,Jamie,1,2
331,2,cisgender_woman,18,academic,highschool,Jamie,1,0.5
332,2,cisgender_woman,18,academic,highschool,Jamie,1,1
333,2,cisgender_woman,18,academic,highschool,Morgan,2,2
334,2,cisgender_woman,18,academic,highschool,Morgan,2,1
335,2,cisgender_woman,18,academic,highschool,Morgan,2,2
336,2,nonbinary,18,academic,highschool,Morgan,1,1
337,2,nonbinary,18,academic,highschool,Morgan,2,2
338,2,cisgender_woman,18,academic,highschool,Morgan,2,1
339,2,cisgender_woman,18,academic,highschool,Morgan,1,2
340,2,cisgender_woman,22,academic,highschool,Morgan,2,0.5
341,2,cisgender_woman,18,academic,highschool,Morgan,1,1
342,2,cisgender_woman,18,academic,highschool,Morgan,1,0.5
343,2,cisgender_woman,18,academic,highschool,Morgan,2,2
